age,year,LE,LE_Bs,LE_bs,LE_Cs,LE_cs,LE_ds,LE_cC,Lstar,Lstar_Bs,Lstar_bs,Lstar_Cs,Lstar_cs,Lstar_ds,Lstar_cC,Lmed,Lmed_Bs,Lmed_bs,Lmed_Cs,Lmed_cs,Lmed_ds,Lmed_cC,h,h_Bs,h_bs,h_Cs,h_cs,h_ds,h_cC,H,H_Bs,H_bs,H_Cs,H_cs,H_ds,H_cC
0,1958,73.24516310881154,1.5802448277264913,2.2302534285135773,0.9615643725942284,57.59455490622695,-2820.8517853055982,0.18034446258831505,100.97114699750996,0.03280813343853405,0.0463847866863079,0.9994605811925641,-206.7744444888568,-152.36284696434467,NaN,76.65527789588741,0.34130222132697335,0.48253981779834687,0.9943884391421647,44.40023929140424,-1203.320855753526,NaN,1.829356467907204,0.13398693072416132,0.18912360567280193,0.010223002245569067,9.276314292086363,-207.7922198793537,-0.022964118415651182,0.16051683227760288,-0.021507157686417235,-0.03035752209154576,-0.0016409639368288173,-1.4890045853772098,33.35414890695934,NaN
1,1958,73.02000564588454,0.2701387567793461,0.5344531774620607,0.9714981130495677,57.99665627999442,-2777.3208772389858,0.19654504060633074,100.97114699750996,0.03280813343853405,0.0463847866863079,0.9994605811925641,-206.7744444888568,-152.36284696434467,NaN,75.81998070036968,0.057609964509587025,0.11412257863389871,0.9944156995357152,42.66936941829738,-1171.5323501168925,NaN,1.8833771910482493,0.024251125081372185,0.047983675448083,0.011099493349393285,9.918053503460282,-216.26156572882994,-0.016569323063419357,0.1520756490159865,-0.003688005586121474,-0.007297148586000837,-0.00168796265485681,-1.5082944235134872,32.88811796539961,NaN
2,1958,72.1738256537774,0.0457835233120078,0.11654373322098445,0.97324057453174,57.893885183161565,-2710.528313769618,0.21219612533669513,100.97114699750996,0.03280813343853405,0.0463847866863079,0.9994605811925641,-206.7744444888568,-152.36284696434467,NaN,74.85261636458951,0.009848356567212273,0.025094443800949023,0.9943664303602826,42.28742214688306,-1152.9659966814208,NaN,1.88351737815393,0.004158709553698425,0.010586887571066784,0.011412034946117918,10.047505162656233,-213.19312266834228,-0.014316186190738538,0.1520543314651642,-0.0006323498009189589,-0.001609782111884829,-0.0017352493443849462,-1.5277666804012382,32.416937740352815,NaN
3,1958,71.2217984394031,0.007746815327721921,0.024113018019126752,0.9735491929556619,57.69095687600926,-2640.619060851141,0.22855507465220298,100.97114699750996,0.03280813343853405,0.0463847866863079,0.9994605811925641,-206.7744444888568,-152.36284696434467,NaN,73.86290852805526,0.0016871813786188904,0.0052559356711959345,0.9942985629021815,42.13024310535024,-1136.597431439045,NaN,1.8739460030945188,0.0007062500422378394,0.002198422160668557,0.011620544527093086,10.080730250555476,-208.08992565431433,-0.012894608398762133,0.15351668771710117,-0.00010842116715835265,-0.0003374944883443571,-0.001783947505256887,-1.5475603178340296,31.945276133787058,NaN
4,1958,70.25184134136555,0.0013102283203637885,0.004821290287721348,0.9735908659792085,57.4567841186746,-2570.988644132258,0.24590034894450769,100.97114699750996,0.03280813343853405,0.0463847866863079,0.9994605811925641,-206.7744444888568,-152.36284696434467,NaN,72.86944047051888,0.0002891456122990511,0.0010647350782419164,0.9942213161492809,42.0071975763867,-1120.606856064092,NaN,1.8625592770038772,0.00011971996285408953,0.00044055796112423874,0.011813304939815656,10.096300382853157,-202.6984533198309,-0.011560581911392089,0.1552747303703041,-1.8589484962431013e-5,-6.840751859978346e-5,-0.001834307739296234,-1.5677003196857844,31.473947685754922,NaN
5,1958,69.27887279182178,0.00022154229330882856,0.0009408595652240552,0.9735643191747534,57.202270316891536,-2502.206033122232,0.2643271803738578,100.97114699750996,0.03280813343853405,0.0463847866863079,0.9994605811925641,-206.7744444888568,-152.36284696434467,NaN,71.87539710291705,4.955590640148717e-5,0.00021058690616374166,0.994135661097426,41.885328707461724,-1104.688075905564,NaN,1.8507058795565174,2.028466132488758e-5,8.614899451666505e-5,0.012005826901221064,10.107741317323583,-197.3134261188278,-0.010175285817914817,0.15712621497614948,-3.1872520385755943e-6,-1.3536265535814262e-5,-0.001886430138665636,-1.5881911351488383,31.003111809951154,NaN
6,1958,68.30544057825341,3.7453056054162006e-5,0.00018029739021496844,0.9735018410899683,56.92834749352804,-2434.3670871775325,0.28389817432319325,100.97114699750996,0.03280813343853405,0.0463847866863079,0.9994605811925641,-206.7744444888568,-152.36284696434467,NaN,70.88133123443693,8.493275553693583e-6,4.090882772589487e-5,0.9940410851372519,41.758599675651446,-1088.7891415491763,NaN,1.8386122907674167,3.436085215797233e-6,1.6541635136254953e-5,0.0122007992051446,10.117287724246077,-191.98444430984677,-0.008710962590641495,0.15903797150647528,-5.464680310019093e-7,-2.6307481106671294e-6,-0.0019403903563629374,-1.6090329021600334,30.53281658388802,NaN
7,1958,67.33200091933469,6.330517507474062e-6,3.4064619272593584e-5,0.9734070356052827,56.63417115272538,-2367.4886156589923,0.3046764922107298,100.97114699750996,0.03280813343853405,0.0463847866863079,0.9994605811925641,-206.7744444888568,-152.36284696434467,NaN,69.88734545459842,1.4556317629396434e-6,7.836753277938568e-6,0.9939367505755905,41.62555223366446,-1072.9009401488377,NaN,1.8263144023462392,5.819299511957473e-7,3.131468305417179e-6,0.012398689231093829,10.125246644031924,-186.72046149541103,-0.007159418028009179,0.16100587848319692,-9.36941406523879e-8,-5.041847998660619e-7,-0.0019962618516795624,-1.6302242307583796,30.063091933848096,NaN
8,1958,66.3586582264853,1.0697647430981597e-6,6.363081416072024e-6,0.9732784445745397,56.31858483775946,-2301.574233912884,0.32671681501909394,100.97114699750996,0.03280813343853405,0.0463847866863079,0.9994605811925641,-206.7744444888568,-152.36284696434467,NaN,68.89346598177701,2.4947215426309754e-7,1.4845820607766217e-6,0.9938216885077134,41.48547873477673,-1057.0215615241273,NaN,1.8138157919596278,9.853394041072986e-8,5.86106204610432e-7,0.01259957714452399,10.13159485051248,-181.52370849897773,-0.005515739809116174,0.16303085657343663,-1.606406997532539e-8,-9.55534128637251e-8,-0.0020541198543350845,-1.6517625869338386,29.59396568492109,NaN
9,1958,65.38545957380802,1.807357383029519e-7,1.1775267391270607e-6,0.9731135897041887,55.980299471233295,-2236.6253618910746,0.35008042586924076,100.97114699750996,0.03280813343853405,0.0463847866863079,0.9994605811925641,-206.7744444888568,-152.36284696434467,NaN,67.89970681119561,4.2756317086773014e-8,2.786801271559229e-7,0.9936948250661634,41.337763961538826,-1041.1502883690382,NaN,1.8011145639551331,1.668055483558883e-8,1.0867951296375657e-7,0.012803471738565702,10.136249185358844,-176.3952980057681,-0.003775554967732791,0.16511475467232134,-2.7542064448404033e-9,-1.7944623981154584e-8,-0.002114042095095448,-1.6736442975371768,29.12546635550693,NaN
10,1958,64.41244465528663,3.052607034399294e-8,2.1620915355043467e-7,0.9729096561591417,55.617963130340534,-2172.643059530602,0.3748281750423362,100.97114699750996,0.03280813343853405,0.0463847866863079,0.9994605811925641,-206.7744444888568,-152.36284696434467,NaN,66.9060807955425,7.328213610525919e-9,5.191545367344268e-8,0.9935549778568724,41.18176978528905,-1025.2865822197014,NaN,1.7882079029125726,2.8233130270008366e-9,1.999514002162027e-8,0.013010364437393328,10.13911289501884,-171.3361485764723,-0.0019345382489232752,0.16725964676668606,-4.722064890743902e-10,-3.344384482229418e-9,-0.002176108960104802,-1.6958644413459825,28.657623689307687,NaN
