age,year,LE,LE_Bs,LE_bs,LE_Cs,LE_cs,LE_ds,LE_cC,Lstar,Lstar_Bs,Lstar_bs,Lstar_Cs,Lstar_cs,Lstar_ds,Lstar_cC,Lmed,Lmed_Bs,Lmed_bs,Lmed_Cs,Lmed_cs,Lmed_ds,Lmed_cC,h,h_Bs,h_bs,h_Cs,h_cs,h_ds,h_cC,H,H_Bs,H_bs,H_Cs,H_cs,H_ds,H_cC,mortality,survival
0,1958,73.87610807105874,1.7162994600426944,4.426335057038346,0.9356214892821811,73.09847589893232,-2927.2739988968724,0.3687014102257647,106.84682600625703,0.041262473173164935,0.10670881922875788,0.9989155969109967,-277.26163771643496,-187.71614526176091,NaN,78.26373090699462,0.44131603421394333,1.1412867261009354,0.9884019440790702,63.88078671251481,-1470.6014879193117,NaN,1.6489069217751708,0.12042724182840277,0.3105294810199858,0.008762570281801258,9.96703488646693,-174.80206812313273,-0.027762664798355412,0.19225994896829962,-0.02315333536830512,-0.05970238217402418,-0.001684691315198822,-1.916261618638194,33.60743669692221,NaN,0.024103570386379693,1.0
1,1958,73.9186459709558,0.4978047482666874,1.6858346620341773,0.9483929495794644,73.70399669687775,-2894.389689658508,0.39780020067909955,106.84682600625703,0.041262473173164935,0.10670881922875788,0.9989155969109967,-277.26163771643496,-187.71614526176091,NaN,77.5256328403053,0.12520530761860446,0.42490993084608475,0.9885249095936549,60.70447884477651,-1425.6324630781933,NaN,1.710968217568815,0.03714648728907887,0.1257819609011445,0.009591719464013902,10.731117808756997,-183.5063504255557,-0.021229756633284587,0.18069075992764871,-0.0067120270169119785,-0.022727638100397355,-0.0017331350789677165,-1.939013831736775,33.15790190991538,NaN,0.0074326550693187485,0.9860091957283923
2,1958,73.25255051178306,0.1429947653965884,0.5997282970467885,0.9521578560887529,73.58036981466287,-2833.7845508698265,0.4247730489363292,106.84682600625703,0.041262473173164935,0.10670881922875788,0.9989155969109967,-277.26163771643496,-187.71614526176091,NaN,76.60869295447661,0.03604916642945519,0.1514538082860797,0.9884686516167621,59.61768295534041,-1399.1605958608573,NaN,1.7226131412916563,0.010893183478455182,0.04568180166589164,0.009972922261878441,10.98402511096667,-183.09308601941564,-0.017713479648142877,0.17859883361151616,-0.0019455098635589706,-0.008158716494805545,-0.0017811522836694833,-1.9617340731778783,32.70021160535718,NaN,0.0026051913274725952,0.9815504302151655
3,1958,72.38135156564684,0.040955136021141765,0.2048399861689465,0.9532586569621067,73.22519660650326,-2765.9154634788665,0.4519709189565996,106.84682600625703,0.041262473173164935,0.10670881922875788,0.9989155969109967,-277.26163771643496,-187.71614526176091,NaN,75.64092713684362,0.010422855886457272,0.05220724392306933,0.9883534187284361,59.11890754859305,-1377.8204678306338,NaN,1.718757809890548,0.0031451458593959917,0.015729214670893773,0.010207495691630581,11.069554205304396,-179.82478795407522,-0.015366339204309784,0.1792887203193686,-0.0005638891763113294,-0.0028200707700064237,-0.0018300888401988743,-1.9846462079750944,32.240556114008655,NaN,0.0012115894102825557,0.9798172925988028
4,1958,71.45127399151305,0.011718509347110885,0.06807374200587452,0.953559551991374,72.78319759631495,-2696.6533345892667,0.48016495030376044,106.84682600625703,0.041262473173164935,0.10670881922875788,0.9989155969109967,-277.26163771643496,-187.71614526176091,NaN,74.658616293647,0.0030171633336224593,0.017549409652350603,0.9882121336748168,58.78218336452992,-1357.9462582873416,NaN,1.710250578685111,0.0009038551392614653,0.0052501299410802095,0.010399126291146421,11.103893441480063,-175.7584611846569,-0.013338507456450977,0.18082047718240468,-0.00016343551757770086,-0.0009493310011572226,-0.0018803749782520353,-2.0078113106713573,31.78072882033018,NaN,0.0008139666952317335,0.9788655444517274
5,1958,70.5043655735123,0.003351635546252337,0.022176378046675445,0.9536016337793201,72.2953192803319,-2627.6663706483746,0.5096252704138317,106.84682600625703,0.041262473173164935,0.10670881922875788,0.9989155969109967,-277.26163771643496,-187.71614526176091,NaN,73.67221163405108,0.000873690133041517,0.005787439792133517,0.9880535397978678,58.484460045928024,-1338.5041862851435,NaN,1.700277140070023,0.0002593676653506771,0.001715997407110545,0.010579549201785474,11.121993796025894,-171.49848958799524,-0.011343923330884811,0.18263290214309044,-4.7369069450727355e-5,-0.0003133975865438679,-0.0019321737741001819,-2.031242004585216,31.321266866633618,NaN,0.0007056300893686715,0.9781337461043487
6,1958,69.55270027590957,0.000958365470070358,0.0071149880205249455,0.9535402046426794,71.77237942788739,-2559.427761976751,0.5404669603947244,106.84682600625703,0.041262473173164935,0.10670881922875788,0.9989155969109967,-277.26163771643496,-187.71614526176091,NaN,72.68474472357688,0.0002530195380357075,0.001880375445626558,0.9878793608414835,58.189643950424525,-1319.2001510090072,NaN,1.6897564170833497,7.43860979751746e-5,0.0005522097144570395,0.010758137467157704,11.133972272871658,-167.21714867801902,-0.00929243032291529,0.1845644752712819,-1.3729031129605694e-5,-0.00010191829616157623,-0.0019855699965144096,-2.0549357502259538,30.86234530216855,NaN,0.0006817587332072295,0.977458884351913
7,1958,68.59976316949768,0.00027397606051446523,0.002255261879546581,0.9534184386620099,71.21646180842549,-2492.0722673016776,0.5727581340596912,106.84682600625703,0.041262473173164935,0.10670881922875788,0.9989155969109967,-277.26163771643496,-187.71614526176091,NaN,71.69710411287309,7.327518067806838e-5,0.0006037396406009556,0.9876892065980696,57.88671631441785,-1299.9499957125818,NaN,1.6789511338989807,2.1327533890786918e-5,0.00017554777812864674,0.010937614929600652,11.142678411895949,-162.96353524433596,-0.007154798200632149,0.18656955993771984,-3.979068634237902e-6,-3.275187170384704e-5,-0.002040626004189171,-2.07888460783266,30.404035056418532,NaN,0.0006830276991190809,0.9767931493934592
8,1958,67.646582711028,7.830838715151658e-5,0.0007078372134381657,0.9532468788897368,70.62709927256807,-2425.638931303256,0.6065495315716775,106.84682600625703,0.041262473173164935,0.10670881922875788,0.9989155969109967,-277.26163771643496,-187.71614526176091,NaN,70.70955904227004,2.1220534567794273e-5,0.00019198119716425403,0.9874819933089035,57.57187352846486,-1280.7293033961275,NaN,1.6679352777937597,6.113572967696677e-6,5.5257599518353584e-5,0.01111875120097513,11.148860479313177,-158.7520656376719,-0.0049202345768111135,0.18863614506767615,-1.1532408397116795e-6,-1.0423580542968131e-5,-0.002097398364532903,-2.1030780627152716,29.94637768340014,NaN,0.0006922955736221189,0.9761220412100234
9,1958,66.69348655107727,2.237773830234238e-5,0.00022034443657038935,0.9530264932689644,70.0030580105825,-2360.1397429526314,0.6418886402350595,106.84682600625703,0.041262473173164935,0.10670881922875788,0.9989155969109967,-277.26163771643496,-187.71614526176091,NaN,69.72220043643847,6.14538391155383e-6,6.0560066781695946e-5,0.987256352490634,57.24336082397168,-1261.530656262761,NaN,1.6567286784684865,1.7521180140332016e-6,1.725131704774866e-5,0.011301741114954134,11.152660091093663,-154.58742511147418,-0.002583511668248594,0.19076200434180257,-3.3423754708263966e-7,-3.2908958072554315e-6,-0.0021559427876221156,-2.127503792719272,29.489407060361287,NaN,0.000704654786808231,0.9754406531546643
