country;variable;percentile;year;value;age;pop
US-OK;sfiinc992t;p0p90;1917;0.618;992;t
US-OK;sfiinc992t;p0p90;1918;0.6861;992;t
US-OK;sfiinc992t;p0p90;1919;0.6517;992;t
US-OK;sfiinc992t;p0p90;1920;0.6005;992;t
US-OK;sfiinc992t;p0p90;1921;0.5919;992;t
US-OK;sfiinc992t;p0p90;1922;0.5757;992;t
US-OK;sfiinc992t;p0p90;1923;0.6242;992;t
US-OK;sfiinc992t;p0p90;1924;0.6312;992;t
US-OK;sfiinc992t;p0p90;1925;0.598;992;t
US-OK;sfiinc992t;p0p90;1926;0.5996;992;t
US-OK;sfiinc992t;p0p90;1927;0.614;992;t
US-OK;sfiinc992t;p0p90;1928;0.6329;992;t
US-OK;sfiinc992t;p0p90;1929;0.6377;992;t
US-OK;sfiinc992t;p0p90;1930;0.6194;992;t
US-OK;sfiinc992t;p0p90;1931;0.6257;992;t
US-OK;sfiinc992t;p0p90;1932;0.5508;992;t
US-OK;sfiinc992t;p0p90;1933;0.5631;992;t
US-OK;sfiinc992t;p0p90;1934;0.5296;992;t
US-OK;sfiinc992t;p0p90;1935;0.5752;992;t
US-OK;sfiinc992t;p0p90;1936;0.546;992;t
US-OK;sfiinc992t;p0p90;1937;0.5875;992;t
US-OK;sfiinc992t;p0p90;1938;0.5836;992;t
US-OK;sfiinc992t;p0p90;1939;0.5754;992;t
US-OK;sfiinc992t;p0p90;1940;0.5221;992;t
US-OK;sfiinc992t;p0p90;1941;0.4971;992;t
US-OK;sfiinc992t;p0p90;1942;0.6427;992;t
US-OK;sfiinc992t;p0p90;1943;0.6507;992;t
US-OK;sfiinc992t;p0p90;1944;0.7112;992;t
US-OK;sfiinc992t;p0p90;1945;0.658;992;t
US-OK;sfiinc992t;p0p90;1946;0.6355;992;t
US-OK;sfiinc992t;p0p90;1947;0.649;992;t
US-OK;sfiinc992t;p0p90;1948;0.5824;992;t
US-OK;sfiinc992t;p0p90;1949;0.6055;992;t
US-OK;sfiinc992t;p0p90;1950;0.5763;992;t
US-OK;sfiinc992t;p0p90;1952;0.6047;992;t
US-OK;sfiinc992t;p0p90;1953;0.6105;992;t
US-OK;sfiinc992t;p0p90;1954;0.5971;992;t
US-OK;sfiinc992t;p0p90;1955;0.6077;992;t
US-OK;sfiinc992t;p0p90;1956;0.6304;992;t
US-OK;sfiinc992t;p0p90;1957;0.6168;992;t
US-OK;sfiinc992t;p0p90;1958;0.6428;992;t
US-OK;sfiinc992t;p0p90;1959;0.6373;992;t
US-OK;sfiinc992t;p0p90;1960;0.6431;992;t
US-OK;sfiinc992t;p0p90;1961;0.6283;992;t
US-OK;sfiinc992t;p0p90;1962;0.6328;992;t
US-OK;sfiinc992t;p0p90;1963;0.6264;992;t
US-OK;sfiinc992t;p0p90;1964;0.6167;992;t
US-OK;sfiinc992t;p0p90;1965;0.6205;992;t
US-OK;sfiinc992t;p0p90;1966;0.6309;992;t
US-OK;sfiinc992t;p0p90;1967;0.6327;992;t
US-OK;sfiinc992t;p0p90;1968;0.6317;992;t
US-OK;sfiinc992t;p0p90;1969;0.6475;992;t
US-OK;sfiinc992t;p0p90;1970;0.6605;992;t
US-OK;sfiinc992t;p0p90;1971;0.6572;992;t
US-OK;sfiinc992t;p0p90;1972;0.6491;992;t
US-OK;sfiinc992t;p0p90;1973;0.6492;992;t
US-OK;sfiinc992t;p0p90;1974;0.6539;992;t
US-OK;sfiinc992t;p0p90;1975;0.6516;992;t
US-OK;sfiinc992t;p0p90;1976;0.65;992;t
US-OK;sfiinc992t;p0p90;1977;0.6474;992;t
US-OK;sfiinc992t;p0p90;1978;0.65;992;t
US-OK;sfiinc992t;p0p90;1979;0.6505;992;t
US-OK;sfiinc992t;p0p90;1980;0.6419;992;t
US-OK;sfiinc992t;p0p90;1981;0.6445;992;t
US-OK;sfiinc992t;p0p90;1982;0.6557;992;t
US-OK;sfiinc992t;p0p90;1983;0.6392;992;t
US-OK;sfiinc992t;p0p90;1984;0.618;992;t
US-OK;sfiinc992t;p0p90;1985;0.63;992;t
US-OK;sfiinc992t;p0p90;1986;0.6329;992;t
US-OK;sfiinc992t;p0p90;1987;0.6532;992;t
US-OK;sfiinc992t;p0p90;1988;0.6451;992;t
US-OK;sfiinc992t;p0p90;1989;0.6418;992;t
US-OK;sfiinc992t;p0p90;1990;0.6297;992;t
US-OK;sfiinc992t;p0p90;1991;0.628;992;t
US-OK;sfiinc992t;p0p90;1992;0.6218;992;t
US-OK;sfiinc992t;p0p90;1993;0.6258;992;t
US-OK;sfiinc992t;p0p90;1994;0.6189;992;t
US-OK;sfiinc992t;p0p90;1995;0.6213;992;t
US-OK;sfiinc992t;p0p90;1996;0.6136;992;t
US-OK;sfiinc992t;p0p90;1997;0.602;992;t
US-OK;sfiinc992t;p0p90;1998;0.5999;992;t
US-OK;sfiinc992t;p0p90;1999;0.5968;992;t
US-OK;sfiinc992t;p0p90;2000;0.5991;992;t
US-OK;sfiinc992t;p0p90;2001;0.5994;992;t
US-OK;sfiinc992t;p0p90;2002;0.6057;992;t
US-OK;sfiinc992t;p0p90;2003;0.6014;992;t
US-OK;sfiinc992t;p0p90;2004;0.5902;992;t
US-OK;sfiinc992t;p0p90;2005;0.5911;992;t
US-OK;sfiinc992t;p0p90;2006;0.5738;992;t
US-OK;sfiinc992t;p0p90;2007;0.5567;992;t
US-OK;sfiinc992t;p0p90;2008;0.5748;992;t
US-OK;sfiinc992t;p0p90;2009;0.5826;992;t
US-OK;sfiinc992t;p0p90;2010;0.5863;992;t
US-OK;sfiinc992t;p0p90;2011;0.5676;992;t
US-OK;sfiinc992t;p0p90;2012;0.5401;992;t
US-OK;sfiinc992t;p0p90;2013;0.5861;992;t
US-OK;sfiinc992t;p0p90;2014;0.5878;992;t
US-OK;sfiinc992t;p0p90;2015;0.5797;992;t
US-OK;sfiinc992t;p0p90;2016;0.5668;992;t
US-OK;sfiinc992t;p0p90;2017;0.5666;992;t
US-OK;sfiinc992t;p0p90;2018;0.5726;992;t
US-OK;sfiinc992t;p99p100;1917;0.1426;992;t
US-OK;sfiinc992t;p99p100;1918;0.1128;992;t
US-OK;sfiinc992t;p99p100;1919;0.129;992;t
US-OK;sfiinc992t;p99p100;1920;0.1443;992;t
US-OK;sfiinc992t;p99p100;1921;0.1301;992;t
US-OK;sfiinc992t;p99p100;1922;0.1595;992;t
US-OK;sfiinc992t;p99p100;1923;0.1293;992;t
US-OK;sfiinc992t;p99p100;1924;0.1346;992;t
US-OK;sfiinc992t;p99p100;1925;0.1945;992;t
US-OK;sfiinc992t;p99p100;1926;0.1997;992;t
US-OK;sfiinc992t;p99p100;1927;0.1826;992;t
US-OK;sfiinc992t;p99p100;1928;0.1819;992;t
US-OK;sfiinc992t;p99p100;1929;0.1823;992;t
US-OK;sfiinc992t;p99p100;1930;0.1715;992;t
US-OK;sfiinc992t;p99p100;1931;0.1364;992;t
US-OK;sfiinc992t;p99p100;1932;0.1479;992;t
US-OK;sfiinc992t;p99p100;1933;0.1533;992;t
US-OK;sfiinc992t;p99p100;1934;0.1693;992;t
US-OK;sfiinc992t;p99p100;1935;0.1575;992;t
US-OK;sfiinc992t;p99p100;1936;0.1871;992;t
US-OK;sfiinc992t;p99p100;1937;0.1715;992;t
US-OK;sfiinc992t;p99p100;1938;0.1614;992;t
US-OK;sfiinc992t;p99p100;1939;0.1562;992;t
US-OK;sfiinc992t;p99p100;1940;0.1574;992;t
US-OK;sfiinc992t;p99p100;1941;0.1726;992;t
US-OK;sfiinc992t;p99p100;1942;0.129;992;t
US-OK;sfiinc992t;p99p100;1943;0.1145;992;t
US-OK;sfiinc992t;p99p100;1944;0.0949;992;t
US-OK;sfiinc992t;p99p100;1945;0.1056;992;t
US-OK;sfiinc992t;p99p100;1946;0.1152;992;t
US-OK;sfiinc992t;p99p100;1947;0.1106;992;t
US-OK;sfiinc992t;p99p100;1948;0.1468;992;t
US-OK;sfiinc992t;p99p100;1949;0.1329;992;t
US-OK;sfiinc992t;p99p100;1950;0.1497;992;t
US-OK;sfiinc992t;p99p100;1951;0.1426;992;t
US-OK;sfiinc992t;p99p100;1952;0.1163;992;t
US-OK;sfiinc992t;p99p100;1953;0.1157;992;t
US-OK;sfiinc992t;p99p100;1954;0.1242;992;t
US-OK;sfiinc992t;p99p100;1955;0.119;992;t
US-OK;sfiinc992t;p99p100;1956;0.1149;992;t
US-OK;sfiinc992t;p99p100;1957;0.1256;992;t
US-OK;sfiinc992t;p99p100;1958;0.1037;992;t
US-OK;sfiinc992t;p99p100;1959;0.1065;992;t
US-OK;sfiinc992t;p99p100;1960;0.1026;992;t
US-OK;sfiinc992t;p99p100;1961;0.1136;992;t
US-OK;sfiinc992t;p99p100;1962;0.1064;992;t
US-OK;sfiinc992t;p99p100;1963;0.1088;992;t
US-OK;sfiinc992t;p99p100;1964;0.1106;992;t
US-OK;sfiinc992t;p99p100;1965;0.1135;992;t
US-OK;sfiinc992t;p99p100;1966;0.1037;992;t
US-OK;sfiinc992t;p99p100;1967;0.1095;992;t
US-OK;sfiinc992t;p99p100;1968;0.1115;992;t
US-OK;sfiinc992t;p99p100;1969;0.1035;992;t
US-OK;sfiinc992t;p99p100;1970;0.0913;992;t
US-OK;sfiinc992t;p99p100;1971;0.0943;992;t
US-OK;sfiinc992t;p99p100;1972;0.1;992;t
US-OK;sfiinc992t;p99p100;1973;0.0956;992;t
US-OK;sfiinc992t;p99p100;1974;0.0957;992;t
US-OK;sfiinc992t;p99p100;1975;0.0982;992;t
US-OK;sfiinc992t;p99p100;1976;0.0995;992;t
US-OK;sfiinc992t;p99p100;1977;0.1003;992;t
US-OK;sfiinc992t;p99p100;1978;0.0948;992;t
US-OK;sfiinc992t;p99p100;1979;0.1051;992;t
US-OK;sfiinc992t;p99p100;1980;0.1137;992;t
US-OK;sfiinc992t;p99p100;1981;0.1106;992;t
US-OK;sfiinc992t;p99p100;1982;0.1115;992;t
US-OK;sfiinc992t;p99p100;1983;0.1169;992;t
US-OK;sfiinc992t;p99p100;1984;0.1291;992;t
US-OK;sfiinc992t;p99p100;1985;0.1261;992;t
US-OK;sfiinc992t;p99p100;1986;0.1356;992;t
US-OK;sfiinc992t;p99p100;1987;0.1051;992;t
US-OK;sfiinc992t;p99p100;1988;0.1215;992;t
US-OK;sfiinc992t;p99p100;1989;0.117;992;t
US-OK;sfiinc992t;p99p100;1990;0.1205;992;t
US-OK;sfiinc992t;p99p100;1991;0.1149;992;t
US-OK;sfiinc992t;p99p100;1992;0.1239;992;t
US-OK;sfiinc992t;p99p100;1993;0.1193;992;t
US-OK;sfiinc992t;p99p100;1994;0.1235;992;t
US-OK;sfiinc992t;p99p100;1995;0.1196;992;t
US-OK;sfiinc992t;p99p100;1996;0.1309;992;t
US-OK;sfiinc992t;p99p100;1997;0.1427;992;t
US-OK;sfiinc992t;p99p100;1998;0.147;992;t
US-OK;sfiinc992t;p99p100;1999;0.1457;992;t
US-OK;sfiinc992t;p99p100;2000;0.1518;992;t
US-OK;sfiinc992t;p99p100;2001;0.1446;992;t
US-OK;sfiinc992t;p99p100;2002;0.1366;992;t
US-OK;sfiinc992t;p99p100;2003;0.1458;992;t
US-OK;sfiinc992t;p99p100;2004;0.1655;992;t
US-OK;sfiinc992t;p99p100;2005;0.176;992;t
US-OK;sfiinc992t;p99p100;2006;0.1975;992;t
US-OK;sfiinc992t;p99p100;2007;0.209;992;t
US-OK;sfiinc992t;p99p100;2008;0.1882;992;t
US-OK;sfiinc992t;p99p100;2009;0.1615;992;t
US-OK;sfiinc992t;p99p100;2010;0.1614;992;t
US-OK;sfiinc992t;p99p100;2011;0.1743;992;t
US-OK;sfiinc992t;p99p100;2012;0.2064;992;t
US-OK;sfiinc992t;p99p100;2013;0.1644;992;t
US-OK;sfiinc992t;p99p100;2014;0.168;992;t
US-OK;sfiinc992t;p99p100;2015;0.165;992;t
US-OK;sfiinc992t;p99p100;2016;0.1602;992;t
US-OK;sfiinc992t;p99p100;2017;0.1626;992;t
US-OK;sfiinc992t;p99p100;2018;0.1612;992;t
US-OK;sfiinc992t;p0p100;1917;1.0;992;t
US-OK;sfiinc992t;p0p100;1918;1.0;992;t
US-OK;sfiinc992t;p0p100;1919;1.0;992;t
US-OK;sfiinc992t;p0p100;1920;1.0;992;t
US-OK;sfiinc992t;p0p100;1921;1.0;992;t
US-OK;sfiinc992t;p0p100;1922;1.0;992;t
US-OK;sfiinc992t;p0p100;1923;1.0;992;t
US-OK;sfiinc992t;p0p100;1924;1.0;992;t
US-OK;sfiinc992t;p0p100;1925;1.0;992;t
US-OK;sfiinc992t;p0p100;1926;1.0;992;t
US-OK;sfiinc992t;p0p100;1927;1.0;992;t
US-OK;sfiinc992t;p0p100;1928;1.0;992;t
US-OK;sfiinc992t;p0p100;1929;1.0;992;t
US-OK;sfiinc992t;p0p100;1930;1.0;992;t
US-OK;sfiinc992t;p0p100;1931;1.0;992;t
US-OK;sfiinc992t;p0p100;1932;1.0;992;t
US-OK;sfiinc992t;p0p100;1933;1.0;992;t
US-OK;sfiinc992t;p0p100;1934;1.0;992;t
US-OK;sfiinc992t;p0p100;1935;1.0;992;t
US-OK;sfiinc992t;p0p100;1936;1.0;992;t
US-OK;sfiinc992t;p0p100;1937;1.0;992;t
US-OK;sfiinc992t;p0p100;1938;1.0;992;t
US-OK;sfiinc992t;p0p100;1939;1.0;992;t
US-OK;sfiinc992t;p0p100;1940;1.0;992;t
US-OK;sfiinc992t;p0p100;1941;1.0;992;t
US-OK;sfiinc992t;p0p100;1942;1.0;992;t
US-OK;sfiinc992t;p0p100;1943;1.0;992;t
US-OK;sfiinc992t;p0p100;1944;1.0;992;t
US-OK;sfiinc992t;p0p100;1945;1.0;992;t
US-OK;sfiinc992t;p0p100;1946;1.0;992;t
US-OK;sfiinc992t;p0p100;1947;1.0;992;t
US-OK;sfiinc992t;p0p100;1948;1.0;992;t
US-OK;sfiinc992t;p0p100;1949;1.0;992;t
US-OK;sfiinc992t;p0p100;1950;1.0;992;t
US-OK;sfiinc992t;p0p100;1951;1.0;992;t
US-OK;sfiinc992t;p0p100;1952;1.0;992;t
US-OK;sfiinc992t;p0p100;1953;1.0;992;t
US-OK;sfiinc992t;p0p100;1954;1.0;992;t
US-OK;sfiinc992t;p0p100;1955;1.0;992;t
US-OK;sfiinc992t;p0p100;1956;1.0;992;t
US-OK;sfiinc992t;p0p100;1957;1.0;992;t
US-OK;sfiinc992t;p0p100;1958;1.0;992;t
US-OK;sfiinc992t;p0p100;1959;1.0;992;t
US-OK;sfiinc992t;p0p100;1960;1.0;992;t
US-OK;sfiinc992t;p0p100;1961;1.0;992;t
US-OK;sfiinc992t;p0p100;1962;1.0;992;t
US-OK;sfiinc992t;p0p100;1963;1.0;992;t
US-OK;sfiinc992t;p0p100;1964;1.0;992;t
US-OK;sfiinc992t;p0p100;1965;1.0;992;t
US-OK;sfiinc992t;p0p100;1966;1.0;992;t
US-OK;sfiinc992t;p0p100;1967;1.0;992;t
US-OK;sfiinc992t;p0p100;1968;1.0;992;t
US-OK;sfiinc992t;p0p100;1969;1.0;992;t
US-OK;sfiinc992t;p0p100;1970;1.0;992;t
US-OK;sfiinc992t;p0p100;1971;1.0;992;t
US-OK;sfiinc992t;p0p100;1972;1.0;992;t
US-OK;sfiinc992t;p0p100;1973;1.0;992;t
US-OK;sfiinc992t;p0p100;1974;1.0;992;t
US-OK;sfiinc992t;p0p100;1975;1.0;992;t
US-OK;sfiinc992t;p0p100;1976;1.0;992;t
US-OK;sfiinc992t;p0p100;1977;1.0;992;t
US-OK;sfiinc992t;p0p100;1978;1.0;992;t
US-OK;sfiinc992t;p0p100;1979;1.0;992;t
US-OK;sfiinc992t;p0p100;1980;1.0;992;t
US-OK;sfiinc992t;p0p100;1981;1.0;992;t
US-OK;sfiinc992t;p0p100;1982;1.0;992;t
US-OK;sfiinc992t;p0p100;1983;1.0;992;t
US-OK;sfiinc992t;p0p100;1984;1.0;992;t
US-OK;sfiinc992t;p0p100;1985;1.0;992;t
US-OK;sfiinc992t;p0p100;1986;1.0;992;t
US-OK;sfiinc992t;p0p100;1987;1.0;992;t
US-OK;sfiinc992t;p0p100;1988;1.0;992;t
US-OK;sfiinc992t;p0p100;1989;1.0;992;t
US-OK;sfiinc992t;p0p100;1990;1.0;992;t
US-OK;sfiinc992t;p0p100;1991;1.0;992;t
US-OK;sfiinc992t;p0p100;1992;1.0;992;t
US-OK;sfiinc992t;p0p100;1993;1.0;992;t
US-OK;sfiinc992t;p0p100;1994;1.0;992;t
US-OK;sfiinc992t;p0p100;1995;1.0;992;t
US-OK;sfiinc992t;p0p100;1996;1.0;992;t
US-OK;sfiinc992t;p0p100;1997;1.0;992;t
US-OK;sfiinc992t;p0p100;1998;1.0;992;t
US-OK;sfiinc992t;p0p100;1999;1.0;992;t
US-OK;sfiinc992t;p0p100;2000;1.0;992;t
US-OK;sfiinc992t;p0p100;2001;1.0;992;t
US-OK;sfiinc992t;p0p100;2002;1.0;992;t
US-OK;sfiinc992t;p0p100;2003;1.0;992;t
US-OK;sfiinc992t;p0p100;2004;1.0;992;t
US-OK;sfiinc992t;p0p100;2005;1.0;992;t
US-OK;sfiinc992t;p0p100;2006;1.0;992;t
US-OK;sfiinc992t;p0p100;2007;1.0;992;t
US-OK;sfiinc992t;p0p100;2008;1.0;992;t
US-OK;sfiinc992t;p0p100;2009;1.0;992;t
US-OK;sfiinc992t;p0p100;2010;1.0;992;t
US-OK;sfiinc992t;p0p100;2011;1.0;992;t
US-OK;sfiinc992t;p0p100;2012;1.0;992;t
US-OK;sfiinc992t;p0p100;2013;1.0;992;t
US-OK;sfiinc992t;p0p100;2014;1.0;992;t
US-OK;sfiinc992t;p0p100;2015;1.0;992;t
US-OK;sfiinc992t;p0p100;2016;1.0;992;t
US-OK;sfiinc992t;p0p100;2017;1.0;992;t
US-OK;sfiinc992t;p0p100;2018;1.0;992;t
US-OK;afiinc992t;p99.5p99.9;1917;163077.9;992;t
US-OK;afiinc992t;p99.5p99.9;1918;138943.1;992;t
US-OK;afiinc992t;p99.5p99.9;1919;165521.7;992;t
US-OK;afiinc992t;p99.5p99.9;1920;156328.4;992;t
US-OK;afiinc992t;p99.5p99.9;1921;113303.5;992;t
US-OK;afiinc992t;p99.5p99.9;1922;148644.8;992;t
US-OK;afiinc992t;p99.5p99.9;1923;142842.8;992;t
US-OK;afiinc992t;p99.5p99.9;1924;138347.3;992;t
US-OK;afiinc992t;p99.5p99.9;1925;180749.1;992;t
US-OK;afiinc992t;p99.5p99.9;1926;190145.1;992;t
US-OK;afiinc992t;p99.5p99.9;1927;190701.9;992;t
US-OK;afiinc992t;p99.5p99.9;1928;196636.1;992;t
US-OK;afiinc992t;p99.5p99.9;1929;199611.4;992;t
US-OK;afiinc992t;p99.5p99.9;1930;150562.6;992;t
US-OK;afiinc992t;p99.5p99.9;1931;106132.2;992;t
US-OK;afiinc992t;p99.5p99.9;1932;92840.1;992;t
US-OK;afiinc992t;p99.5p99.9;1933;103338.5;992;t
US-OK;afiinc992t;p99.5p99.9;1934;124851.7;992;t
US-OK;afiinc992t;p99.5p99.9;1935;135179.2;992;t
US-OK;afiinc992t;p99.5p99.9;1936;164448.3;992;t
US-OK;afiinc992t;p99.5p99.9;1937;164524.3;992;t
US-OK;afiinc992t;p99.5p99.9;1938;145787.2;992;t
US-OK;afiinc992t;p99.5p99.9;1939;144546.8;992;t
US-OK;afiinc992t;p99.5p99.9;1940;150646.0;992;t
US-OK;afiinc992t;p99.5p99.9;1941;166174.8;992;t
US-OK;afiinc992t;p99.5p99.9;1942;175179.6;992;t
US-OK;afiinc992t;p99.5p99.9;1943;191251.1;992;t
US-OK;afiinc992t;p99.5p99.9;1944;171426.4;992;t
US-OK;afiinc992t;p99.5p99.9;1945;186822.1;992;t
US-OK;afiinc992t;p99.5p99.9;1946;178657.5;992;t
US-OK;afiinc992t;p99.5p99.9;1947;179672.5;992;t
US-OK;afiinc992t;p99.5p99.9;1948;245003.2;992;t
US-OK;afiinc992t;p99.5p99.9;1949;232430.0;992;t
US-OK;afiinc992t;p99.5p99.9;1950;267758.6;992;t
US-OK;afiinc992t;p99.5p99.9;1951;267416.4;992;t
US-OK;afiinc992t;p99.5p99.9;1952;239291.2;992;t
US-OK;afiinc992t;p99.5p99.9;1953;240015.9;992;t
US-OK;afiinc992t;p99.5p99.9;1954;239305.3;992;t
US-OK;afiinc992t;p99.5p99.9;1955;260591.0;992;t
US-OK;afiinc992t;p99.5p99.9;1956;254376.5;992;t
US-OK;afiinc992t;p99.5p99.9;1957;274745.4;992;t
US-OK;afiinc992t;p99.5p99.9;1958;233046.2;992;t
US-OK;afiinc992t;p99.5p99.9;1959;258630.0;992;t
US-OK;afiinc992t;p99.5p99.9;1960;256603.9;992;t
US-OK;afiinc992t;p99.5p99.9;1961;275468.2;992;t
US-OK;afiinc992t;p99.5p99.9;1962;270409.4;992;t
US-OK;afiinc992t;p99.5p99.9;1963;274353.1;992;t
US-OK;afiinc992t;p99.5p99.9;1964;282809.1;992;t
US-OK;afiinc992t;p99.5p99.9;1965;307768.3;992;t
US-OK;afiinc992t;p99.5p99.9;1966;315388.3;992;t
US-OK;afiinc992t;p99.5p99.9;1967;335782.5;992;t
US-OK;afiinc992t;p99.5p99.9;1968;347406.9;992;t
US-OK;afiinc992t;p99.5p99.9;1969;337266.0;992;t
US-OK;afiinc992t;p99.5p99.9;1970;323545.7;992;t
US-OK;afiinc992t;p99.5p99.9;1971;330396.9;992;t
US-OK;afiinc992t;p99.5p99.9;1972;365022.9;992;t
US-OK;afiinc992t;p99.5p99.9;1973;366769.7;992;t
US-OK;afiinc992t;p99.5p99.9;1974;355391.3;992;t
US-OK;afiinc992t;p99.5p99.9;1975;354944.4;992;t
US-OK;afiinc992t;p99.5p99.9;1976;371691.1;992;t
US-OK;afiinc992t;p99.5p99.9;1977;386921.8;992;t
US-OK;afiinc992t;p99.5p99.9;1978;387901.0;992;t
US-OK;afiinc992t;p99.5p99.9;1979;426194.2;992;t
US-OK;afiinc992t;p99.5p99.9;1980;464366.6;992;t
US-OK;afiinc992t;p99.5p99.9;1981;464665.0;992;t
US-OK;afiinc992t;p99.5p99.9;1982;460313.0;992;t
US-OK;afiinc992t;p99.5p99.9;1983;463891.9;992;t
US-OK;afiinc992t;p99.5p99.9;1984;477609.9;992;t
US-OK;afiinc992t;p99.5p99.9;1985;495607.8;992;t
US-OK;afiinc992t;p99.5p99.9;1986;530070.9;992;t
US-OK;afiinc992t;p99.5p99.9;1987;412974.7;992;t
US-OK;afiinc992t;p99.5p99.9;1988;473562.7;992;t
US-OK;afiinc992t;p99.5p99.9;1989;462418.0;992;t
US-OK;afiinc992t;p99.5p99.9;1990;497324.6;992;t
US-OK;afiinc992t;p99.5p99.9;1991;467947.6;992;t
US-OK;afiinc992t;p99.5p99.9;1992;494443.8;992;t
US-OK;afiinc992t;p99.5p99.9;1993;473521.1;992;t
US-OK;afiinc992t;p99.5p99.9;1994;481905.8;992;t
US-OK;afiinc992t;p99.5p99.9;1995;497353.6;992;t
US-OK;afiinc992t;p99.5p99.9;1996;542530.9;992;t
US-OK;afiinc992t;p99.5p99.9;1997;598666.9;992;t
US-OK;afiinc992t;p99.5p99.9;1998;626874.0;992;t
US-OK;afiinc992t;p99.5p99.9;1999;649027.7;992;t
US-OK;afiinc992t;p99.5p99.9;2000;699756.2;992;t
US-OK;afiinc992t;p99.5p99.9;2001;644165.7;992;t
US-OK;afiinc992t;p99.5p99.9;2002;587219.0;992;t
US-OK;afiinc992t;p99.5p99.9;2003;619569.0;992;t
US-OK;afiinc992t;p99.5p99.9;2004;699175.9;992;t
US-OK;afiinc992t;p99.5p99.9;2005;800763.9;992;t
US-OK;afiinc992t;p99.5p99.9;2006;941101.1;992;t
US-OK;afiinc992t;p99.5p99.9;2007;1000972.7;992;t
US-OK;afiinc992t;p99.5p99.9;2008;909592.5;992;t
US-OK;afiinc992t;p99.5p99.9;2009;715690.8;992;t
US-OK;afiinc992t;p99.5p99.9;2010;794714.5;992;t
US-OK;afiinc992t;p99.5p99.9;2011;854098.4;992;t
US-OK;afiinc992t;p99.5p99.9;2012;967774.6;992;t
US-OK;afiinc992t;p99.5p99.9;2013;842100.3;992;t
US-OK;afiinc992t;p99.5p99.9;2014;916270.4;992;t
US-OK;afiinc992t;p99.5p99.9;2015;854466.1;992;t
US-OK;afiinc992t;p99.5p99.9;2016;774765.2;992;t
US-OK;afiinc992t;p99.5p99.9;2017;839910.1;992;t
US-OK;afiinc992t;p99.5p99.9;2018;862294.5;992;t
US-OK;sfiinc992t;p90p95;1917;0.0949;992;t
US-OK;sfiinc992t;p90p95;1918;0.0675;992;t
US-OK;sfiinc992t;p90p95;1919;0.0774;992;t
US-OK;sfiinc992t;p90p95;1920;0.108;992;t
US-OK;sfiinc992t;p90p95;1921;0.1116;992;t
US-OK;sfiinc992t;p90p95;1922;0.102;992;t
US-OK;sfiinc992t;p90p95;1923;0.0917;992;t
US-OK;sfiinc992t;p90p95;1924;0.0802;992;t
US-OK;sfiinc992t;p90p95;1925;0.068;992;t
US-OK;sfiinc992t;p90p95;1926;0.0634;992;t
US-OK;sfiinc992t;p90p95;1927;0.0692;992;t
US-OK;sfiinc992t;p90p95;1928;0.0633;992;t
US-OK;sfiinc992t;p90p95;1929;0.0621;992;t
US-OK;sfiinc992t;p90p95;1930;0.0848;992;t
US-OK;sfiinc992t;p90p95;1931;0.1213;992;t
US-OK;sfiinc992t;p90p95;1932;0.1401;992;t
US-OK;sfiinc992t;p90p95;1933;0.1261;992;t
US-OK;sfiinc992t;p90p95;1934;0.1197;992;t
US-OK;sfiinc992t;p90p95;1935;0.1095;992;t
US-OK;sfiinc992t;p90p95;1936;0.1015;992;t
US-OK;sfiinc992t;p90p95;1937;0.0828;992;t
US-OK;sfiinc992t;p90p95;1938;0.0949;992;t
US-OK;sfiinc992t;p90p95;1939;0.0879;992;t
US-OK;sfiinc992t;p90p95;1940;0.1338;992;t
US-OK;sfiinc992t;p90p95;1941;0.1524;992;t
US-OK;sfiinc992t;p90p95;1942;0.103;992;t
US-OK;sfiinc992t;p90p95;1943;0.1069;992;t
US-OK;sfiinc992t;p90p95;1944;0.0887;992;t
US-OK;sfiinc992t;p90p95;1945;0.1109;992;t
US-OK;sfiinc992t;p90p95;1946;0.1161;992;t
US-OK;sfiinc992t;p90p95;1947;0.1111;992;t
US-OK;sfiinc992t;p90p95;1948;0.1197;992;t
US-OK;sfiinc992t;p90p95;1949;0.1121;992;t
US-OK;sfiinc992t;p90p95;1950;0.119;992;t
US-OK;sfiinc992t;p90p95;1951;0.1228;992;t
US-OK;sfiinc992t;p90p95;1952;0.1471;992;t
US-OK;sfiinc992t;p90p95;1953;0.1403;992;t
US-OK;sfiinc992t;p90p95;1954;0.1425;992;t
US-OK;sfiinc992t;p90p95;1955;0.138;992;t
US-OK;sfiinc992t;p90p95;1956;0.1148;992;t
US-OK;sfiinc992t;p90p95;1957;0.1175;992;t
US-OK;sfiinc992t;p90p95;1958;0.1167;992;t
US-OK;sfiinc992t;p90p95;1959;0.1164;992;t
US-OK;sfiinc992t;p90p95;1960;0.1166;992;t
US-OK;sfiinc992t;p90p95;1961;0.1184;992;t
US-OK;sfiinc992t;p90p95;1962;0.1201;992;t
US-OK;sfiinc992t;p90p95;1963;0.1235;992;t
US-OK;sfiinc992t;p90p95;1964;0.128;992;t
US-OK;sfiinc992t;p90p95;1965;0.126;992;t
US-OK;sfiinc992t;p90p95;1966;0.1271;992;t
US-OK;sfiinc992t;p90p95;1967;0.1207;992;t
US-OK;sfiinc992t;p90p95;1968;0.1159;992;t
US-OK;sfiinc992t;p90p95;1969;0.1147;992;t
