country;variable;percentile;year;value;age;pop
QO;ahweal992j;p45p46;1995;1439.7;992;j
QO;ahweal992j;p45p46;1996;1578.3;992;j
QO;ahweal992j;p45p46;1997;1662.3;992;j
QO;ahweal992j;p45p46;1998;1768.8;992;j
QO;ahweal992j;p45p46;1999;1844.8;992;j
QO;ahweal992j;p45p46;2000;1926.4;992;j
QO;ahweal992j;p45p46;2001;2115.1;992;j
QO;ahweal992j;p45p46;2002;2275.3;992;j
QO;ahweal992j;p45p46;2003;2472.8;992;j
QO;ahweal992j;p45p46;2004;2625.6;992;j
QO;ahweal992j;p45p46;2005;2812.3;992;j
QO;ahweal992j;p45p46;2006;3046.2;992;j
QO;ahweal992j;p45p46;2007;3220.8;992;j
QO;ahweal992j;p45p46;2008;3379.3;992;j
QO;ahweal992j;p45p46;2009;3684.9;992;j
QO;ahweal992j;p45p46;2010;3827.1;992;j
QO;ahweal992j;p45p46;2011;3777.0;992;j
QO;ahweal992j;p45p46;2012;3906.9;992;j
QO;ahweal992j;p45p46;2013;3922.0;992;j
QO;ahweal992j;p45p46;2014;4035.1;992;j
QO;ahweal992j;p45p46;2015;4165.7;992;j
QO;ahweal992j;p45p46;2016;4451.0;992;j
QO;ahweal992j;p45p46;2017;4596.4;992;j
QO;ahweal992j;p45p46;2018;4778.9;992;j
QO;ahweal992j;p45p46;2019;4919.5;992;j
QO;ahweal992j;p45p46;2020;4758.2;992;j
QO;ahweal992j;p45p46;2021;5015.4;992;j
QO;ahweal992j;p61p100;1995;12564.6;992;j
QO;ahweal992j;p61p100;1996;13626.9;992;j
QO;ahweal992j;p61p100;1997;14291.6;992;j
QO;ahweal992j;p61p100;1998;15334.9;992;j
QO;ahweal992j;p61p100;1999;16062.8;992;j
QO;ahweal992j;p61p100;2000;16973.4;992;j
QO;ahweal992j;p61p100;2001;18321.8;992;j
QO;ahweal992j;p61p100;2002;19404.4;992;j
QO;ahweal992j;p61p100;2003;20967.0;992;j
QO;ahweal992j;p61p100;2004;22189.5;992;j
QO;ahweal992j;p61p100;2005;23955.4;992;j
QO;ahweal992j;p61p100;2006;26194.5;992;j
QO;ahweal992j;p61p100;2007;28249.2;992;j
QO;ahweal992j;p61p100;2008;29051.9;992;j
QO;ahweal992j;p61p100;2009;30398.2;992;j
QO;ahweal992j;p61p100;2010;31343.5;992;j
QO;ahweal992j;p61p100;2011;31534.5;992;j
QO;ahweal992j;p61p100;2012;32418.1;992;j
QO;ahweal992j;p61p100;2013;33232.7;992;j
QO;ahweal992j;p61p100;2014;34670.5;992;j
QO;ahweal992j;p61p100;2015;36251.9;992;j
QO;ahweal992j;p61p100;2016;38351.3;992;j
QO;ahweal992j;p61p100;2017;40077.0;992;j
QO;ahweal992j;p61p100;2018;41852.6;992;j
QO;ahweal992j;p61p100;2019;43469.2;992;j
QO;ahweal992j;p61p100;2020;42483.2;992;j
QO;ahweal992j;p61p100;2021;44606.1;992;j
QO;bhweal992j;p13p100;1995;35.0541763305664;992;j
QO;bhweal992j;p13p100;1996;35.314567565918;992;j
QO;bhweal992j;p13p100;1997;34.2709197998047;992;j
QO;bhweal992j;p13p100;1998;34.7282791137695;992;j
QO;bhweal992j;p13p100;1999;34.9844665527344;992;j
QO;bhweal992j;p13p100;2000;34.9945030212402;992;j
QO;bhweal992j;p13p100;2001;34.6842498779297;992;j
QO;bhweal992j;p13p100;2002;34.6341171264648;992;j
QO;bhweal992j;p13p100;2003;34.1586685180664;992;j
QO;bhweal992j;p13p100;2004;33.9643821716309;992;j
QO;bhweal992j;p13p100;2005;34.6792602539062;992;j
QO;bhweal992j;p13p100;2006;35.3514022827148;992;j
QO;bhweal992j;p13p100;2007;36.3686637878418;992;j
QO;bhweal992j;p13p100;2008;34.6771621704102;992;j
QO;bhweal992j;p13p100;2009;34.3097724914551;992;j
QO;bhweal992j;p13p100;2010;33.9949645996094;992;j
QO;bhweal992j;p13p100;2011;34.1069412231445;992;j
QO;bhweal992j;p13p100;2012;33.5948486328125;992;j
QO;bhweal992j;p13p100;2013;34.8344612121582;992;j
QO;bhweal992j;p13p100;2014;35.7965316772461;992;j
QO;bhweal992j;p13p100;2015;36.710033416748;992;j
QO;bhweal992j;p13p100;2016;36.8847923278809;992;j
QO;bhweal992j;p13p100;2017;37.6039695739746;992;j
QO;bhweal992j;p13p100;2018;37.8467864990234;992;j
QO;bhweal992j;p13p100;2019;39.0983924865723;992;j
QO;bhweal992j;p13p100;2020;39.69482421875;992;j
QO;bhweal992j;p13p100;2021;40.1634368896484;992;j
QO;bhweal992j;p96p100;1995;2.95566415786743;992;j
QO;bhweal992j;p96p100;1996;2.94188952445984;992;j
QO;bhweal992j;p96p100;1997;2.98092222213745;992;j
QO;bhweal992j;p96p100;1998;2.98525142669678;992;j
QO;bhweal992j;p96p100;1999;3.03436183929443;992;j
QO;bhweal992j;p96p100;2000;3.05780696868896;992;j
QO;bhweal992j;p96p100;2001;3.02175521850586;992;j
QO;bhweal992j;p96p100;2002;2.99927020072937;992;j
QO;bhweal992j;p96p100;2003;2.90244698524475;992;j
QO;bhweal992j;p96p100;2004;2.88617515563965;992;j
QO;bhweal992j;p96p100;2005;2.91576838493347;992;j
QO;bhweal992j;p96p100;2006;2.94760894775391;992;j
QO;bhweal992j;p96p100;2007;3.13036179542542;992;j
QO;bhweal992j;p96p100;2008;3.1215078830719;992;j
QO;bhweal992j;p96p100;2009;2.90889120101929;992;j
QO;bhweal992j;p96p100;2010;2.92670726776123;992;j
QO;bhweal992j;p96p100;2011;2.97960138320923;992;j
QO;bhweal992j;p96p100;2012;2.96043133735657;992;j
QO;bhweal992j;p96p100;2013;2.96233129501343;992;j
QO;bhweal992j;p96p100;2014;3.05670762062073;992;j
QO;bhweal992j;p96p100;2015;3.04871034622192;992;j
QO;bhweal992j;p96p100;2016;2.86543822288513;992;j
QO;bhweal992j;p96p100;2017;2.90566062927246;992;j
QO;bhweal992j;p96p100;2018;2.98386168479919;992;j
QO;bhweal992j;p96p100;2019;2.9466278553009;992;j
QO;bhweal992j;p96p100;2020;2.97119069099426;992;j
QO;bhweal992j;p96p100;2021;2.98458623886108;992;j
QO;bhweal992j;p99.95p100;1995;3.05727338790894;992;j
QO;bhweal992j;p99.95p100;1996;3.02118420600891;992;j
QO;bhweal992j;p99.95p100;1997;3.04968094825745;992;j
QO;bhweal992j;p99.95p100;1998;3.07984900474548;992;j
QO;bhweal992j;p99.95p100;1999;2.9787073135376;992;j
QO;bhweal992j;p99.95p100;2000;3.31779646873474;992;j
QO;bhweal992j;p99.95p100;2001;3.16110897064209;992;j
QO;bhweal992j;p99.95p100;2002;3.06702756881714;992;j
QO;bhweal992j;p99.95p100;2003;3.06787967681885;992;j
QO;bhweal992j;p99.95p100;2004;3.09625864028931;992;j
QO;bhweal992j;p99.95p100;2005;3.42085599899292;992;j
QO;bhweal992j;p99.95p100;2006;3.52897667884827;992;j
QO;bhweal992j;p99.95p100;2007;4.1304121017456;992;j
QO;bhweal992j;p99.95p100;2008;4.1290545463562;992;j
QO;bhweal992j;p99.95p100;2009;3.34899830818176;992;j
QO;bhweal992j;p99.95p100;2010;3.61676359176636;992;j
QO;bhweal992j;p99.95p100;2011;4.09600830078125;992;j
QO;bhweal992j;p99.95p100;2012;4.06900358200073;992;j
QO;bhweal992j;p99.95p100;2013;4.04930114746094;992;j
QO;bhweal992j;p99.95p100;2014;4.32502460479736;992;j
QO;bhweal992j;p99.95p100;2015;4.17239952087402;992;j
QO;bhweal992j;p99.95p100;2016;3.61472201347351;992;j
QO;bhweal992j;p99.95p100;2017;3.75532412528992;992;j
QO;bhweal992j;p99.95p100;2018;3.73539543151856;992;j
QO;bhweal992j;p99.95p100;2019;3.49686145782471;992;j
QO;bhweal992j;p99.95p100;2020;3.58142757415771;992;j
QO;bhweal992j;p99.95p100;2021;3.65021347999573;992;j
QO;shweal992j;p76p77;1995;0.0093;992;j
QO;shweal992j;p76p77;1996;0.0092;992;j
QO;shweal992j;p76p77;1997;0.0092;992;j
QO;shweal992j;p76p77;1998;0.0092;992;j
QO;shweal992j;p76p77;1999;0.0092;992;j
QO;shweal992j;p76p77;2000;0.0091;992;j
QO;shweal992j;p76p77;2001;0.0092;992;j
QO;shweal992j;p76p77;2002;0.0093;992;j
QO;shweal992j;p76p77;2003;0.0093;992;j
QO;shweal992j;p76p77;2004;0.0093;992;j
QO;shweal992j;p76p77;2005;0.0092;992;j
QO;shweal992j;p76p77;2006;0.0092;992;j
QO;shweal992j;p76p77;2007;0.009;992;j
QO;shweal992j;p76p77;2008;0.0091;992;j
QO;shweal992j;p76p77;2009;0.0095;992;j
QO;shweal992j;p76p77;2010;0.0095;992;j
QO;shweal992j;p76p77;2011;0.0094;992;j
QO;shweal992j;p76p77;2012;0.0093;992;j
QO;shweal992j;p76p77;2013;0.0093;992;j
QO;shweal992j;p76p77;2014;0.0092;992;j
QO;shweal992j;p76p77;2015;0.0092;992;j
QO;shweal992j;p76p77;2016;0.0092;992;j
QO;shweal992j;p76p77;2017;0.0092;992;j
QO;shweal992j;p76p77;2018;0.0092;992;j
QO;shweal992j;p76p77;2019;0.0093;992;j
QO;shweal992j;p76p77;2020;0.0091;992;j
QO;shweal992j;p76p77;2021;0.0092;992;j
QO;shweal992j;p99.993p100;1995;0.0557;992;j
QO;shweal992j;p99.993p100;1996;0.0554;992;j
QO;shweal992j;p99.993p100;1997;0.056;992;j
QO;shweal992j;p99.993p100;1998;0.0559;992;j
QO;shweal992j;p99.993p100;1999;0.0568;992;j
QO;shweal992j;p99.993p100;2000;0.0638;992;j
QO;shweal992j;p99.993p100;2001;0.0584;992;j
QO;shweal992j;p99.993p100;2002;0.0552;992;j
QO;shweal992j;p99.993p100;2003;0.0543;992;j
QO;shweal992j;p99.993p100;2004;0.0538;992;j
QO;shweal992j;p99.993p100;2005;0.0647;992;j
QO;shweal992j;p99.993p100;2006;0.0677;992;j
QO;shweal992j;p99.993p100;2007;0.0892;992;j
QO;shweal992j;p99.993p100;2008;0.0881;992;j
QO;shweal992j;p99.993p100;2009;0.0615;992;j
QO;shweal992j;p99.993p100;2010;0.0674;992;j
QO;shweal992j;p99.993p100;2011;0.0795;992;j
QO;shweal992j;p99.993p100;2012;0.0799;992;j
QO;shweal992j;p99.993p100;2013;0.079;992;j
QO;shweal992j;p99.993p100;2014;0.0874;992;j
QO;shweal992j;p99.993p100;2015;0.0854;992;j
QO;shweal992j;p99.993p100;2016;0.0699;992;j
QO;shweal992j;p99.993p100;2017;0.0737;992;j
QO;shweal992j;p99.993p100;2018;0.0724;992;j
QO;shweal992j;p99.993p100;2019;0.0677;992;j
QO;shweal992j;p99.993p100;2020;0.069;992;j
QO;shweal992j;p99.993p100;2021;0.0704;992;j
QO;shweal992j;p75p76;1995;0.0088;992;j
QO;shweal992j;p75p76;1996;0.0088;992;j
QO;shweal992j;p75p76;1997;0.0088;992;j
QO;shweal992j;p75p76;1998;0.0088;992;j
QO;shweal992j;p75p76;1999;0.0088;992;j
QO;shweal992j;p75p76;2000;0.0087;992;j
QO;shweal992j;p75p76;2001;0.0088;992;j
QO;shweal992j;p75p76;2002;0.0088;992;j
QO;shweal992j;p75p76;2003;0.0089;992;j
QO;shweal992j;p75p76;2004;0.0089;992;j
QO;shweal992j;p75p76;2005;0.0088;992;j
QO;shweal992j;p75p76;2006;0.0088;992;j
QO;shweal992j;p75p76;2007;0.0086;992;j
QO;shweal992j;p75p76;2008;0.0087;992;j
QO;shweal992j;p75p76;2009;0.009;992;j
QO;shweal992j;p75p76;2010;0.0091;992;j
QO;shweal992j;p75p76;2011;0.0089;992;j
QO;shweal992j;p75p76;2012;0.009;992;j
QO;shweal992j;p75p76;2013;0.009;992;j
QO;shweal992j;p75p76;2014;0.0088;992;j
QO;shweal992j;p75p76;2015;0.0088;992;j
QO;shweal992j;p75p76;2016;0.0088;992;j
QO;shweal992j;p75p76;2017;0.0088;992;j
QO;shweal992j;p75p76;2018;0.0087;992;j
QO;shweal992j;p75p76;2019;0.0088;992;j
QO;shweal992j;p75p76;2020;0.0087;992;j
QO;shweal992j;p75p76;2021;0.0088;992;j
QO;thweal992j;p99.94p100;1995;335974.0;992;j
QO;thweal992j;p99.94p100;1996;363339.8;992;j
QO;thweal992j;p99.94p100;1997;382686.0;992;j
QO;thweal992j;p99.94p100;1998;403333.5;992;j
QO;thweal992j;p99.94p100;1999;438147.8;992;j
QO;thweal992j;p99.94p100;2000;448089.4;992;j
QO;thweal992j;p99.94p100;2001;483567.3;992;j
QO;thweal992j;p99.94p100;2002;503837.0;992;j
QO;thweal992j;p99.94p100;2003;541056.8;992;j
QO;thweal992j;p99.94p100;2004;559741.1;992;j
QO;thweal992j;p99.94p100;2005;592543.9;992;j
QO;thweal992j;p99.94p100;2006;643788.5;992;j
QO;thweal992j;p99.94p100;2007;687488.4;992;j
QO;thweal992j;p99.94p100;2008;705502.6;992;j
QO;thweal992j;p99.94p100;2009;743163.3;992;j
QO;thweal992j;p99.94p100;2010;741980.8;992;j
QO;thweal992j;p99.94p100;2011;710987.4;992;j
QO;thweal992j;p99.94p100;2012;736929.1;992;j
QO;thweal992j;p99.94p100;2013;760077.9;992;j
QO;thweal992j;p99.94p100;2014;794118.1;992;j
QO;thweal992j;p99.94p100;2015;861638.9;992;j
QO;thweal992j;p99.94p100;2016;917229.6;992;j
QO;thweal992j;p99.94p100;2017;950824.3;992;j
QO;thweal992j;p99.94p100;2018;998378.6;992;j
QO;thweal992j;p99.94p100;2019;1052688.4;992;j
QO;thweal992j;p99.94p100;2020;1026222.4;992;j
QO;thweal992j;p99.94p100;2021;1068578.0;992;j
QO;thweal992j;p63p64;1995;2842.5;992;j
QO;thweal992j;p63p64;1996;3071.5;992;j
QO;thweal992j;p63p64;1997;3227.6;992;j
QO;thweal992j;p63p64;1998;3487.1;992;j
QO;thweal992j;p63p64;1999;3588.7;992;j
QO;thweal992j;p63p64;2000;3748.2;992;j
QO;thweal992j;p63p64;2001;4140.5;992;j
QO;thweal992j;p63p64;2002;4419.6;992;j
QO;thweal992j;p63p64;2003;4788.2;992;j
QO;thweal992j;p63p64;2004;5099.8;992;j
QO;thweal992j;p63p64;2005;5483.8;992;j
QO;thweal992j;p63p64;2006;5957.8;992;j
QO;thweal992j;p63p64;2007;6283.2;992;j
QO;thweal992j;p63p64;2008;6518.1;992;j
QO;thweal992j;p63p64;2009;7162.9;992;j
QO;thweal992j;p63p64;2010;7402.4;992;j
QO;thweal992j;p63p64;2011;7363.4;992;j
QO;thweal992j;p63p64;2012;7546.7;992;j
QO;thweal992j;p63p64;2013;7689.1;992;j
QO;thweal992j;p63p64;2014;7845.9;992;j
QO;thweal992j;p63p64;2015;8138.7;992;j
QO;thweal992j;p63p64;2016;8807.1;992;j
QO;thweal992j;p63p64;2017;9142.7;992;j
QO;thweal992j;p63p64;2018;9399.0;992;j
QO;thweal992j;p63p64;2019;9864.6;992;j
QO;thweal992j;p63p64;2020;9477.3;992;j
QO;thweal992j;p63p64;2021;9991.7;992;j
QO;shweal992j;p72p100;1995;0.845;992;j
QO;shweal992j;p72p100;1996;0.8452;992;j
QO;shweal992j;p72p100;1997;0.8439;992;j
QO;shweal992j;p72p100;1998;0.8443;992;j
QO;shweal992j;p72p100;1999;0.8465;992;j
QO;shweal992j;p72p100;2000;0.8479;992;j
QO;shweal992j;p72p100;2001;0.8446;992;j
QO;shweal992j;p72p100;2002;0.8433;992;j
QO;shweal992j;p72p100;2003;0.8424;992;j
QO;shweal992j;p72p100;2004;0.8417;992;j
QO;shweal992j;p72p100;2005;0.8424;992;j
QO;shweal992j;p72p100;2006;0.8429;992;j
QO;shweal992j;p72p100;2007;0.8463;992;j
QO;shweal992j;p72p100;2008;0.8444;992;j
QO;shweal992j;p72p100;2009;0.8382;992;j
QO;shweal992j;p72p100;2010;0.8367;992;j
QO;shweal992j;p72p100;2011;0.8382;992;j
QO;shweal992j;p72p100;2012;0.8385;992;j
QO;shweal992j;p72p100;2013;0.8397;992;j
QO;shweal992j;p72p100;2014;0.843;992;j
QO;shweal992j;p72p100;2015;0.8448;992;j
QO;shweal992j;p72p100;2016;0.8418;992;j
QO;shweal992j;p72p100;2017;0.8429;992;j
QO;shweal992j;p72p100;2018;0.8449;992;j
QO;shweal992j;p72p100;2019;0.8439;992;j
QO;shweal992j;p72p100;2020;0.8457;992;j
QO;shweal992j;p72p100;2021;0.8466;992;j
QO;shweal992j;p3p4;1995;-0.0009;992;j
QO;shweal992j;p3p4;1996;-0.0009;992;j
QO;shweal992j;p3p4;1997;-0.0009;992;j
QO;shweal992j;p3p4;1998;-0.0009;992;j
QO;shweal992j;p3p4;1999;-0.0009;992;j
QO;shweal992j;p3p4;2000;-0.0009;992;j
QO;shweal992j;p3p4;2001;-0.0009;992;j
QO;shweal992j;p3p4;2002;-0.0009;992;j
QO;shweal992j;p3p4;2003;-0.0009;992;j
QO;shweal992j;p3p4;2004;-0.0009;992;j
QO;shweal992j;p3p4;2005;-0.0009;992;j
QO;shweal992j;p3p4;2006;-0.0009;992;j
QO;shweal992j;p3p4;2007;-0.0009;992;j
QO;shweal992j;p3p4;2008;-0.0009;992;j
QO;shweal992j;p3p4;2009;-0.0009;992;j
QO;shweal992j;p3p4;2010;-0.0009;992;j
QO;shweal992j;p3p4;2011;-0.0008;992;j
QO;shweal992j;p3p4;2012;-0.0009;992;j
QO;shweal992j;p3p4;2013;-0.0009;992;j
QO;shweal992j;p3p4;2014;-0.0009;992;j
QO;shweal992j;p3p4;2015;-0.0009;992;j
QO;shweal992j;p3p4;2016;-0.0008;992;j
QO;shweal992j;p3p4;2017;-0.0008;992;j
QO;shweal992j;p3p4;2018;-0.0008;992;j
QO;shweal992j;p3p4;2019;-0.0008;992;j
QO;shweal992j;p3p4;2020;-0.0009;992;j
QO;shweal992j;p3p4;2021;-0.0008;992;j
QO;ahweal992j;p50p90;1995;4415.2;992;j
QO;ahweal992j;p50p90;1996;4790.4;992;j
QO;ahweal992j;p50p90;1997;5043.2;992;j
QO;ahweal992j;p50p90;1998;5405.6;992;j
QO;ahweal992j;p50p90;1999;5615.8;992;j
QO;ahweal992j;p50p90;2000;5858.4;992;j
QO;ahweal992j;p50p90;2001;6428.1;992;j
QO;ahweal992j;p50p90;2002;6870.1;992;j
QO;ahweal992j;p50p90;2003;7456.5;992;j
QO;ahweal992j;p50p90;2004;7907.7;992;j
QO;ahweal992j;p50p90;2005;8487.3;992;j
QO;ahweal992j;p50p90;2006;9249.9;992;j
QO;ahweal992j;p50p90;2007;9740.4;992;j
QO;ahweal992j;p50p90;2008;10074.9;992;j
QO;ahweal992j;p50p90;2009;11020.3;992;j
QO;ahweal992j;p50p90;2010;11402.1;992;j
QO;ahweal992j;p50p90;2011;11328.2;992;j
QO;ahweal992j;p50p90;2012;11599.4;992;j
QO;ahweal992j;p50p90;2013;11855.5;992;j
QO;ahweal992j;p50p90;2014;12149.3;992;j
QO;ahweal992j;p50p90;2015;12627.6;992;j
QO;ahweal992j;p50p90;2016;13577.0;992;j
QO;ahweal992j;p50p90;2017;14105.8;992;j
QO;ahweal992j;p50p90;2018;14687.7;992;j
QO;ahweal992j;p50p90;2019;15309.2;992;j
QO;ahweal992j;p50p90;2020;14797.9;992;j
QO;ahweal992j;p50p90;2021;15593.9;992;j
QO;shweal992j;p39p40;1995;0.002;992;j
QO;shweal992j;p39p40;1996;0.002;992;j
QO;shweal992j;p39p40;1997;0.002;992;j
QO;shweal992j;p39p40;1998;0.002;992;j
QO;shweal992j;p39p40;1999;0.002;992;j
QO;shweal992j;p39p40;2000;0.002;992;j
QO;shweal992j;p39p40;2001;0.002;992;j
QO;shweal992j;p39p40;2002;0.0021;992;j
QO;shweal992j;p39p40;2003;0.0021;992;j
QO;shweal992j;p39p40;2004;0.0021;992;j
QO;shweal992j;p39p40;2005;0.0021;992;j
QO;shweal992j;p39p40;2006;0.0021;992;j
QO;shweal992j;p39p40;2007;0.002;992;j
QO;shweal992j;p39p40;2008;0.0021;992;j
QO;shweal992j;p39p40;2009;0.0021;992;j
QO;shweal992j;p39p40;2010;0.0022;992;j
QO;shweal992j;p39p40;2011;0.0021;992;j
QO;shweal992j;p39p40;2012;0.0021;992;j
QO;shweal992j;p39p40;2013;0.0021;992;j
QO;shweal992j;p39p40;2014;0.0021;992;j
QO;shweal992j;p39p40;2015;0.002;992;j
QO;shweal992j;p39p40;2016;0.002;992;j
QO;shweal992j;p39p40;2017;0.002;992;j
QO;shweal992j;p39p40;2018;0.002;992;j
QO;shweal992j;p39p40;2019;0.002;992;j
QO;shweal992j;p39p40;2020;0.002;992;j
QO;shweal992j;p39p40;2021;0.002;992;j
QO;shweal992j;p61p100;1995;0.9122;992;j
QO;shweal992j;p61p100;1996;0.9124;992;j
QO;shweal992j;p61p100;1997;0.9116;992;j
QO;shweal992j;p61p100;1998;0.9118;992;j
QO;shweal992j;p61p100;1999;0.9133;992;j
QO;shweal992j;p61p100;2000;0.9139;992;j
QO;shweal992j;p61p100;2001;0.9119;992;j
QO;shweal992j;p61p100;2002;0.911;992;j
QO;shweal992j;p61p100;2003;0.9104;992;j
QO;shweal992j;p61p100;2004;0.91;992;j
QO;shweal992j;p61p100;2005;0.9101;992;j
QO;shweal992j;p61p100;2006;0.9107;992;j
QO;shweal992j;p61p100;2007;0.9128;992;j
QO;shweal992j;p61p100;2008;0.911;992;j
QO;shweal992j;p61p100;2009;0.9081;992;j
QO;shweal992j;p61p100;2010;0.9067;992;j
QO;shweal992j;p61p100;2011;0.9073;992;j
QO;shweal992j;p61p100;2012;0.9072;992;j
QO;shweal992j;p61p100;2013;0.9081;992;j
QO;shweal992j;p61p100;2014;0.9104;992;j
QO;shweal992j;p61p100;2015;0.9117;992;j
QO;shweal992j;p61p100;2016;0.9096;992;j
QO;shweal992j;p61p100;2017;0.9103;992;j
QO;shweal992j;p61p100;2018;0.9121;992;j
QO;shweal992j;p61p100;2019;0.9112;992;j
QO;shweal992j;p61p100;2020;0.9124;992;j
QO;shweal992j;p61p100;2021;0.9134;992;j
QO;shweal992j;p62p63;1995;0.0052;992;j
QO;shweal992j;p62p63;1996;0.0052;992;j
QO;shweal992j;p62p63;1997;0.0052;992;j
QO;shweal992j;p62p63;1998;0.0052;992;j
QO;shweal992j;p62p63;1999;0.0051;992;j
QO;shweal992j;p62p63;2000;0.0051;992;j
QO;shweal992j;p62p63;2001;0.0052;992;j
QO;shweal992j;p62p63;2002;0.0052;992;j
QO;shweal992j;p62p63;2003;0.0052;992;j
QO;shweal992j;p62p63;2004;0.0053;992;j
QO;shweal992j;p62p63;2005;0.0052;992;j
QO;shweal992j;p62p63;2006;0.0052;992;j
QO;shweal992j;p62p63;2007;0.0051;992;j
QO;shweal992j;p62p63;2008;0.0051;992;j
QO;shweal992j;p62p63;2009;0.0054;992;j
QO;shweal992j;p62p63;2010;0.0054;992;j
QO;shweal992j;p62p63;2011;0.0053;992;j
QO;shweal992j;p62p63;2012;0.0053;992;j
QO;shweal992j;p62p63;2013;0.0053;992;j
QO;shweal992j;p62p63;2014;0.0052;992;j
QO;shweal992j;p62p63;2015;0.0052;992;j
QO;shweal992j;p62p63;2016;0.0053;992;j
QO;shweal992j;p62p63;2017;0.0052;992;j
QO;shweal992j;p62p63;2018;0.0052;992;j
QO;shweal992j;p62p63;2019;0.0052;992;j
QO;shweal992j;p62p63;2020;0.0051;992;j
QO;shweal992j;p62p63;2021;0.0051;992;j
QO;shweal992j;p93p100;1995;0.56;992;j
QO;shweal992j;p93p100;1996;0.559;992;j
QO;shweal992j;p93p100;1997;0.5574;992;j
QO;shweal992j;p93p100;1998;0.5585;992;j
QO;shweal992j;p93p100;1999;0.5627;992;j
QO;shweal992j;p93p100;2000;0.5672;992;j
QO;shweal992j;p93p100;2001;0.5615;992;j
QO;shweal992j;p93p100;2002;0.5576;992;j
QO;shweal992j;p93p100;2003;0.5552;992;j
QO;shweal992j;p93p100;2004;0.5548;992;j
QO;shweal992j;p93p100;2005;0.5577;992;j
QO;shweal992j;p93p100;2006;0.5586;992;j
QO;shweal992j;p93p100;2007;0.5671;992;j
QO;shweal992j;p93p100;2008;0.5644;992;j
QO;shweal992j;p93p100;2009;0.548;992;j
QO;shweal992j;p93p100;2010;0.5464;992;j
QO;shweal992j;p93p100;2011;0.5518;992;j
QO;shweal992j;p93p100;2012;0.5537;992;j
QO;shweal992j;p93p100;2013;0.5551;992;j
QO;shweal992j;p93p100;2014;0.5623;992;j
QO;shweal992j;p93p100;2015;0.5647;992;j
QO;shweal992j;p93p100;2016;0.5567;992;j
QO;shweal992j;p93p100;2017;0.5594;992;j
QO;shweal992j;p93p100;2018;0.5608;992;j
QO;shweal992j;p93p100;2019;0.5587;992;j
QO;shweal992j;p93p100;2020;0.564;992;j
QO;shweal992j;p93p100;2021;0.562;992;j
QO;shweal992j;p99.991p99.992;1995;0.0021;992;j
QO;shweal992j;p99.991p99.992;1996;0.0021;992;j
QO;shweal992j;p99.991p99.992;1997;0.0021;992;j
QO;shweal992j;p99.991p99.992;1998;0.0021;992;j
QO;shweal992j;p99.991p99.992;1999;0.0021;992;j
QO;shweal992j;p99.991p99.992;2000;0.0021;992;j
QO;shweal992j;p99.991p99.992;2001;0.0022;992;j
QO;shweal992j;p99.991p99.992;2002;0.0022;992;j
QO;shweal992j;p99.991p99.992;2003;0.0021;992;j
QO;shweal992j;p99.991p99.992;2004;0.0021;992;j
QO;shweal992j;p99.991p99.992;2005;0.0021;992;j
QO;shweal992j;p99.991p99.992;2006;0.0022;992;j
QO;shweal992j;p99.991p99.992;2007;0.0022;992;j
QO;shweal992j;p99.991p99.992;2008;0.0021;992;j
QO;shweal992j;p99.991p99.992;2009;0.0021;992;j
QO;shweal992j;p99.991p99.992;2010;0.002;992;j
QO;shweal992j;p99.991p99.992;2011;0.002;992;j
QO;shweal992j;p99.991p99.992;2012;0.0019;992;j
QO;shweal992j;p99.991p99.992;2013;0.0019;992;j
QO;shweal992j;p99.991p99.992;2014;0.0019;992;j
QO;shweal992j;p99.991p99.992;2015;0.0019;992;j
QO;shweal992j;p99.991p99.992;2016;0.0018;992;j
QO;shweal992j;p99.991p99.992;2017;0.0019;992;j
QO;shweal992j;p99.991p99.992;2018;0.0018;992;j
QO;shweal992j;p99.991p99.992;2019;0.0019;992;j
QO;shweal992j;p99.991p99.992;2020;0.0019;992;j
QO;shweal992j;p99.991p99.992;2021;0.0019;992;j
QO;thweal992j;p11p12;1995;118.8;992;j
QO;thweal992j;p11p12;1996;127.9;992;j
QO;thweal992j;p11p12;1997;136.2;992;j
QO;thweal992j;p11p12;1998;145.9;992;j
QO;thweal992j;p11p12;1999;152.1;992;j
QO;thweal992j;p11p12;2000;160.6;992;j
QO;thweal992j;p11p12;2001;169.4;992;j
QO;thweal992j;p11p12;2002;182.7;992;j
QO;thweal992j;p11p12;2003;201.9;992;j
QO;thweal992j;p11p12;2004;215.0;992;j
QO;thweal992j;p11p12;2005;230.9;992;j
QO;thweal992j;p11p12;2006;245.0;992;j
QO;thweal992j;p11p12;2007;251.6;992;j
QO;thweal992j;p11p12;2008;277.4;992;j
QO;thweal992j;p11p12;2009;292.0;992;j
QO;thweal992j;p11p12;2010;304.6;992;j
QO;thweal992j;p11p12;2011;303.0;992;j
QO;thweal992j;p11p12;2012;317.3;992;j
QO;thweal992j;p11p12;2013;318.8;992;j
QO;thweal992j;p11p12;2014;322.4;992;j
QO;thweal992j;p11p12;2015;327.6;992;j
QO;thweal992j;p11p12;2016;330.9;992;j
QO;thweal992j;p11p12;2017;331.1;992;j
QO;thweal992j;p11p12;2018;340.5;992;j
QO;thweal992j;p11p12;2019;353.6;992;j
QO;thweal992j;p11p12;2020;346.8;992;j
QO;thweal992j;p11p12;2021;354.1;992;j
